"---PBT Bankroll Export---"
id,starttime,endtime,breakminutes,playingminutes,variant,game,limit,tablesize,location,type,currency,exchangerate,buyin,cashout,netprofit,grossprofit,rebuys,rebuycosts,addoncosts,bounties,bountycosts,smallblind,bigblind,3rdblind,ante,expenses,expensesfromstack,handsperhour,place,player,itm,mttname,startstack,private,casinoid,staking,stakingpercent,sharesincomings,sharesoutgoings,stakingplayer,sessionnote,tags,notes,chipgraph,updatetimes
7764355,"2025-04-29 15:12:01","2025-04-29 23:25:00",66,427,"Cash Game","Texas Holdem","No Limit",Full-Ring,"Grandstand Casino Toronto",Casino,CAD,0.633755,500,382,-618,-618,5,500,,,,1,3,0,0,0,0,25,,,,,,no,1460,no,0,0,0,,,,"[{""p"":1,""n"":""Rebuy""},{""p"":3,""n"":""Rebuy""},{""p"":5,""n"":""Rebuy""},{""p"":8,""n"":""Rebuy""},{""p"":10,""n"":""Rebuy""}]","[-75,0,-25,0,-330,-30,-61,-50,0,-50,0,-118]","[1745954848,1745954848,1745955599,1745955599,1745961905,1745961905,1745961923,1745962071,1745962071,1745963191,1745963191,1745983505]"
7753473,"2025-04-27 19:21:36","2025-04-28 00:16:00",32,262,"Cash Game","Texas Holdem","No Limit",Full-Ring,"Gerrard home game","Home Game",CAD,0.632056,500,400,-200,-200,1,100,,,,1,3,0,0,0,0,25,,,,,,no,0,no,0,0,0,,,,"[{""p"":1,""n"":""Rebuy""}]","[-100,0,-100]","[1745799871,1745799871,1745813795]"
7741085,"2025-04-26 15:54:43","2025-04-27 00:47:00",74,458,"Cash Game","Texas Holdem","No Limit",Full-Ring,"Grandstand Casino Toronto",Casino,CAD,0.634472,500,795,295,295,0,0,,,,1,3,0,0,0,0,25,,,,,,no,1460,no,0,0,0,,,,[],[295],[1745729186]
7734931,"2025-04-25 19:08:15","2025-04-26 01:02:00",31,323,"Cash Game","Texas Holdem","No Limit",Full-Ring,"Gerrard home game","Home Game",CAD,0.636297,500,235,-415,-415,1,150,,,,1,3,0,0,0,0,25,,,,,,no,0,no,0,0,0,,,,"[{""p"":1,""n"":""Rebuy""}]","[-150,0,-265]","[1745632846,1745632846,1745643767]"
7727838,"2025-04-24 16:41:45","2025-04-24 23:56:00",47,387,"Cash Game","Texas Holdem","No Limit",Full-Ring,"Grandstand Casino Toronto",Casino,CAD,0.636174,500,430,-770,-770,2,700,,,,1,3,0,0,0,0,25,,,,,,no,1460,no,0,0,0,,,,"[{""p"":1,""n"":""Rebuy""},{""p"":3,""n"":""Rebuy""}]","[-275,0,-425,0,-70]","[1745528447,1745528447,1745553069,1745553069,1745553370]"
7720629,"2025-04-23 19:15:49","2025-04-24 03:37:00",51,450,"Cash Game","Texas Holdem","No Limit",Full-Ring,"Gerrard home game","Home Game",CAD,0.627869,500,490,-1010,-1010,5,1000,,,,1,3,0,0,0,0,25,,,,,,no,0,no,0,0,0,,,,"[{""p"":1,""n"":""Rebuy""},{""p"":3,""n"":""Rebuy""},{""p"":5,""n"":""Rebuy""},{""p"":7,""n"":""Rebuy""},{""p"":9,""n"":""Rebuy""}]","[-200,0,-200,0,-200,0,-200,0,-200,0,-10]","[1745454904,1745454904,1745464555,1745464555,1745465275,1745465275,1745467633,1745467633,1745470346,1745470346,1745480275]"
7713946,"2025-04-22 19:27:01","2025-04-23 03:32:00",97,388,"Cash Game","Texas Holdem","No Limit",Full-Ring,"Grandstand Casino Toronto",Casino,CAD,0.627869,500,500,-275,-275,6,275,,,,1,3,0,0,0,0,25,,,,,,no,1460,no,0,0,0,,,,"[{""p"":1,""n"":""Rebuy""},{""p"":3,""n"":""Rebuy""},{""p"":5,""n"":""Rebuy""},{""p"":8,""n"":""Rebuy""},{""p"":10,""n"":""Rebuy""},{""p"":12,""n"":""Rebuy""}]","[-25,0,-25,0,-25,0,150,-50,0,-50,0,-125,0]","[1745367758,1745367758,1745367862,1745367862,1745368087,1745368087,1745373103,1745386276,1745386276,1745386588,1745386588,1745390380,1745390380]"
7706999,"2025-04-21 18:41:23","2025-04-22 02:23:00",114,348,"Cash Game","Texas Holdem","No Limit",Full-Ring,"Grandstand Casino Toronto",Casino,CAD,0.635275,500,385,-515,-515,8,400,,,,1,3,0,0,0,0,25,,,,,,no,1460,no,0,0,0,,,,"[{""p"":2,""n"":""Rebuy""},{""p"":5,""n"":""Rebuy""},{""p"":7,""n"":""Rebuy""},{""p"":9,""n"":""Rebuy""},{""p"":11,""n"":""Rebuy""},{""p"":13,""n"":""Rebuy""},{""p"":15,""n"":""Rebuy""},{""p"":18,""n"":""Rebuy""}]","[-72,-75,0,-53,-50,0,-50,0,-75,0,-75,0,-25,0,-25,0,210,-115,-90,-115]","[1745279521,1745280130,1745280130,1745283678,1745285274,1745285274,1745286255,1745286255,1745291040,1745291040,1745295768,1745295768,1745296995,1745296995,1745297425,1745297425,1745298895,1745302426,1745302426,1745302823]"
7691765,"2025-04-19 12:15:17","2025-04-19 22:04:00",79,510,"Cash Game","Texas Holdem","No Limit",Full-Ring,"Playground Montreal",Casino,CAD,0.635275,500,1270,520,520,4,250,,,,1,3,0,0,0,0,25,,,,,,no,365,no,0,0,0,,,,"[{""p"":1,""n"":""Rebuy""},{""p"":3,""n"":""Rebuy""},{""p"":5,""n"":""Rebuy""},{""p"":16,""n"":""Rebuy""}]","[-163,-13,-32,-7,-42,8,71,322,466,547,487,373,407,415,224,-31,-6,86,106,826,744,658,730,770]","[1745082346,1745082346,1745082529,1745082529,1745084728,1745084728,1745087158,1745088750,1745090905,1745097163,1745099985,1745101016,1745102115,1745102648,1745103525,1745108893,1745108917,1745110080,1745110290,1745111655,1745112379,1745113112,1745113895,1745114146]"
7688448,"2025-04-18 22:01:44","2025-04-19 00:53:00",19,152,"Cash Game","Texas Holdem","No Limit",Full-Ring,"Playground Montreal",Casino,CAD,0.635275,500,805,180,180,1,125,,,,1,3,0,0,0,0,25,,,,,,no,365,no,0,0,0,,,,"[{""p"":1,""n"":""Rebuy""}]","[-131,-6,105,145,269,305]","[1745031458,1745031495,1745033162,1745033436,1745036703,1745038416]"
